Game Pitch,Pitch Type,PlateLocSide (CM),PlateLocHeight (CM),RelSpeed (KMH),SpinRate,TrueSpinRelease,Spin Efficiency,Spin Direction,InducedVertBreak (CM),HorzBreak (CM),HorzRelAngle,VertRelAngle,RelHeight (Meters),RelSide (Meters),Gyro Degree (deg)
1,FB,-32,142,115,1901,1168,61,12:14,46.8,33.2,4.5,2.1,1.7,0.6,52
2,FB,-38,95,129.1,2088,1940,92,12:44,61.3,32.5,5,-0.6,1.6,0.7,21
3,FB,-56,71,124.6,2076,1821,87,1:16,72.7,22.7,5,-2.9,1.7,0.6,28
4,FB,-24,62,125.2,2087,1831,87,1:18,0,36,4.5,-3.6,1.7,0.7,28
5,FB,-26,34,124.7,2011,1740,86,1:16,0,32,4.5,-5,1.7,0.7,30
6,CB,-31,69,105.6,1844,1794,97,6:8,-5.4,0.3,3.5,2.4,1.7,0.7,13
7,CB,-12,34,96.8,1662,1618,97,5:54,-20.2,-2.6,2,2.3,1.8,0.5,13
8,SL,-40,73,109.8,2099,1192,56,6:56,-9.8,-11.8,3.4,2.3,1.6,0.7,55
9,SL,-16,52,111.2,1978,1180,59,6:36,0.6,-11,2.7,1,1.7,0.7,53
10,SL,-56,48,115.7,2073,1152,55,5:20,-30.3,24.3,5.6,5,1.4,0.8,56
11,FB,-4,113,126.2,2072,1462,70,1:22,66.8,20.8,3.5,-0.4,1.6,0.7,45
12,FB,-10,104,123.2,2106,1656,78,1:44,70.4,26.4,4,-0.7,1.6,0.8,38
13,CB,-38,30,97.9,1718,1644,95,6:0,-38.6,-46.9,1.3,3.3,1.7,0.4,16
14,CB,-56,-23,107.6,1809,1665,92,6:6,-7.5,-25,3.1,-1.2,1.7,0.6,22
15,CB,-43,53,103.7,1805,1731,95,6:22,-21.5,1.1,3.5,2.2,1.7,0.5,16
16,SL,-36,31,113.7,2104,1219,57,10:56,18.2,-18,3.1,-0.5,1.6,0.7,54
17,SL,-20,65,117.5,2004,733,36,11:54,48.2,-20.4,2.5,-0.6,1.7,0.7,68
18,CB,9,77,100.6,1718,1642,95,6:12,-61,8.2,1.7,5.2,1.7,0.5,17
19,CB,0,0,0,0,0,0,12:0,0,0,0,0,0,0,0
20,SL,-42,4,112.9,2088,1136,54,11:6,25.9,-11.4,3.4,-1.8,1.7,0.7,57
21,SL,-52,18,113.9,2133,966,45,5:6,0.1,7.1,4.6,-0.3,1.6,0.7,63
22,FB,-38,68,126,2066,1539,74,1:0,0,15.5,4.2,-2.7,1.6,0.6,41
23,CT,-17,17,124.2,1859,1520,81,12:52,0,23.3,3.8,-6,1.7,0.7,35
24,CT,-53,66,125.1,1951,1393,71,1:2,74.7,22.9,4.9,-3,1.7,0.6,44
25,CT,-67,37,124.9,1935,1263,65,1:16,0,0.1,4.5,-4.6,1.7,0.6,49
26,CT,-18,36,121.7,1935,1588,82,12:46,0,25.9,3.8,-4.6,1.7,0.6,34
27,CT,-30,75,127.8,2082,1760,84,12:56,64.6,16.8,4,-2.7,1.7,0.7,32
28,FB,-26,97,127.7,2036,1780,87,12:54,47.1,33.4,4,-0.1,1.6,0.5,29
29,FB,-57,59,125,2069,1801,87,12:48,71.3,12.2,4.4,-3.1,1.7,0.5,29
30,CB,-13,46,97.7,1648,1586,96,6:4,-42.7,4.6,2.4,3.6,1.8,0.5,15
31,FB,-25,78,125.5,2103,1847,87,1:20,0,24.2,4.3,-2.5,1.6,0.7,28
32,SL,-36,48,111.5,2147,804,37,11:18,48.6,-27.1,2.8,-1.2,1.7,0.7,67
