Game Pitch,Pitch Created At,PitchID,Pitch Type,Is Strike,PlateLocSide (CM),PlateLocHeight (CM),RelSpeed (KMH),SpinRate,TrueSpinRelease,Spin Efficiency,Spin Direction,InducedVertBreak (CM),HorzBreak (CM),HorzRelAngle,VertRelAngle,RelHeight (Meters),RelSide (Meters),Gyro Degree (deg),Right Hand Spin Direction,Right Hand Total Spin,Left Hand Spin Direction,Left Hand Total Spin,IntentType,Pitcher First Name,Device Serial Number,Latitude,Longitude,VerticalSSWBreak (Meters),HorizontalSSWBreak (Meters),Flagged
1,01-10-2026 07:16:11,1768029371,FB,Y,19,92,127.4,0,0,0,12:0,65.6,30.3,1.2,-1.5,1.7,0.2,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
2,01-10-2026 07:16:23,1768029383,FB,N,36,94,129.5,1958,1844,94,12:42,49.6,24.4,0.5,-0.8,1.7,0.3,19,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
3,01-10-2026 07:16:36,1768029396,FB,N,74,107,129,1986,1911,96,12:20,47.3,30,-0.7,0.3,1.6,0.2,15,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
4,01-10-2026 07:16:46,1768029406,FB,N,30,113,127.5,0,0,0,12:0,60.8,25,0.7,-0.3,1.6,0.2,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
5,01-10-2026 07:16:59,1768029419,SL,N,-11,11,113.7,1947,910,46,10:24,43.8,-18.6,0.5,-2.9,1.8,0.2,62,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
6,01-10-2026 07:17:11,1768029431,FB,N,25,114,129.5,0,0,0,12:0,71,31.8,1,-1.1,1.7,0.2,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
7,01-10-2026 07:17:22,1768029442,FB,N,35,61,129.4,0,0,0,12:0,69.3,18.2,0.4,-2.9,1.7,0.3,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
8,01-10-2026 07:17:51,1768029471,FB,Y,-1,58,130.4,0,0,0,12:0,54.8,7,0.9,-2.4,1.7,0.2,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
9,01-10-2026 07:18:13,1768029493,FB,Y,15,91,129.7,0,0,0,12:0,46.4,12,0.8,-0.7,1.7,0.3,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
10,01-10-2026 07:18:24,1768029504,FB,N,44,59,128.9,1819,1721,94,12:36,64,39.7,0.7,-2.7,1.7,0.2,18,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
11,01-10-2026 07:18:38,1768029518,SP,Y,13,49,126.8,1893,1682,88,2:56,29.2,34.5,1.6,-4.8,1.8,0.2,-27,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
12,01-10-2026 07:19:13,1768029553,FB,N,30,69,128.1,0,0,0,12:0,0,31.7,0.8,-2.9,1.7,0.2,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
13,01-10-2026 07:19:23,1768029563,SL,Y,8,71,113.6,1902,1505,79,8:20,8.1,-19,-0.3,0.7,1.8,0.2,37,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
14,01-10-2026 07:19:46,1768029586,FB,Y,16,73,129.2,1857,1816,97,12:46,0,29.4,1.2,-3,1.7,0.2,12,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
15,01-10-2026 07:19:55,1768029595,FB,Y,7,104,126.7,0,0,0,12:0,0,36.2,1.9,-1.7,1.7,0.2,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
16,01-10-2026 07:20:07,1768029607,SL,Y,-25,76,119.4,2016,839,41,10:12,29.4,-8.1,1.5,0.1,1.6,0.2,65,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
17,01-10-2026 07:20:18,1768029618,FB,Y,-17,82,125.8,2092,2000,95,2:40,17.1,25.1,2.2,-3,1.7,0.2,17,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
18,01-10-2026 07:20:30,1768029630,SP,Y,-22,52,121.3,2048,1891,92,12:0,10.2,33.8,2.7,-4.7,1.8,0.2,22,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
19,01-10-2026 07:20:40,1768029640,SP,N,4,23,125.3,0,0,0,12:0,24,50.7,2.5,-1.8,1.7,0.2,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
20,01-10-2026 07:20:53,1768029653,FB,Y,8,89,123.6,1857,1765,95,12:38,27.7,28.5,1.4,-2.2,1.7,0.2,18,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
21,01-10-2026 07:21:05,1768029665,FB,N,-49,41,121.5,1960,1849,94,12:32,19.9,22.7,3.1,-9.4,1.9,0.2,19,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
22,01-10-2026 07:21:16,1768029676,SL,Y,-5,84,114,1840,812,44,7:38,13.1,-13.9,0.4,0.9,1.7,0.2,63,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
23,01-10-2026 07:21:28,1768029688,SP,N,-45,115,125.7,1593,751,47,2:8,24,15.1,2.7,-2.9,1.8,0.2,-61,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
24,01-10-2026 07:21:38,1768029698,SP,N,-27,53,122.3,1905,1269,66,2:2,25.4,16.4,2.2,-7,1.9,0.2,48,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
25,01-10-2026 07:22:27,1768029747,SP,Y,25,51,122.6,1948,567,29,1:18,31.5,50.6,1.4,-5.4,1.8,0.1,-73,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
26,01-10-2026 07:22:42,1768029762,FB,N,-18,106,126.9,1928,1829,94,12:48,61,21.2,2.1,-0.5,1.6,0.2,18,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
27,01-10-2026 07:22:54,1768029774,FB,Y,-25,98,123.8,0,0,0,12:0,70.8,22.1,2.4,-1.6,1.7,0.2,0,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
28,01-10-2026 07:23:05,1768029785,FB,N,-10,111,126.5,1954,1858,95,12:16,64.7,11.5,1.3,-0.7,1.7,0.2,18,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
29,01-10-2026 07:23:17,1768029797,FB,N,-36,55,122.3,1996,1836,91,12:54,21.5,-8.2,1.6,-6.3,1.9,0.2,23,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
30,01-10-2026 07:23:28,1768029808,SL,Y,-12,69,111.8,1801,1031,57,7:28,2.1,-16.1,0.6,1.3,1.7,0.2,55,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
31,01-10-2026 07:23:39,1768029819,FB,Y,-2,56,131.5,1982,1883,95,12:12,35.9,26.9,1.8,-5.4,1.8,0.2,18,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
32,01-10-2026 07:23:51,1768029831,FB,Y,7,87,125.5,2051,1985,96,12:46,72,26.1,1.4,-1.5,1.6,0.2,14,0:0,0,0:0,0,high_intent,俵積田,MTD-22119CB2427,,,0,0,false
33,01-10-2026 07:26:16,1768029976,FB,Y,8,86,134,2281,2280,99,1:12,72.9,33.8,2.3,-3.7,2,0.4,1,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
34,01-10-2026 07:26:47,1768030007,CB,N,37,50,112.3,1269,1196,94,7:20,4.2,-38.3,-1.2,-0.3,2,0.4,-19,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
35,01-10-2026 07:27:00,1768030020,FB,N,31,105,137.9,0,0,0,12:0,64,32.5,1.3,-3.4,2,0.4,0,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
36,01-10-2026 07:27:15,1768030035,FB,N,0,28,120.4,1216,1172,96,12:18,56,40.6,3,-3.8,1.9,0.4,-15,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
37,01-10-2026 07:27:30,1768030050,SP,N,69,96,124.7,1817,1757,96,1:44,19.8,30,0.2,-0.1,1.9,0.5,14,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
38,01-10-2026 07:27:58,1768030078,FB,N,49,46,132.8,1178,737,62,12:30,67.2,37.2,1,-4,1.9,0.4,51,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
39,01-10-2026 07:28:36,1768030116,FB,N,14,38,134.4,1839,1816,98,12:24,0,43.8,2.5,-6.3,2,0.4,8,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
40,01-10-2026 07:28:54,1768030134,SP,N,52,101,131.1,1750,1533,87,3:0,37,29.1,0.5,-0.9,1.9,0.4,28,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
41,01-10-2026 07:29:16,1768030156,CB,N,42,84,114.9,1994,1725,86,6:56,-21.4,-30.9,-1.2,1.9,1.9,0.4,30,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
42,01-10-2026 07:29:27,1768030167,CB,Y,20,63,115,2021,1821,90,6:52,-60.9,-4.3,0.8,2.7,1.8,0.5,25,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
43,01-10-2026 07:29:54,1768030194,SP,N,39,70,125.6,1962,1887,96,1:44,37.6,42,1.4,-1.6,1.9,0.4,15,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
44,01-10-2026 07:30:10,1768030210,SP,N,62,38,125.1,1654,1101,66,2:8,36.1,58,1.4,-3.3,1.9,0.4,48,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
45,01-10-2026 07:30:42,1768030242,SP,N,41,115,129.7,1689,1688,99,10:44,21.1,10.5,0,-1.8,1.7,0.3,2,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
46,01-10-2026 07:31:04,1768030264,FB,N,28,40,134.4,0,0,0,12:0,55.1,45.1,2,-3.7,1.9,0.4,0,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
47,01-10-2026 07:31:31,1768030291,CB,N,54,110,108,1909,1785,93,7:0,-25.4,-11.4,-0.6,0.1,2,0.5,20,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
48,01-10-2026 07:31:47,1768030307,CB,N,17,45,113.1,1964,1714,87,6:54,-12.5,-13.8,0.4,0.4,1.8,0.4,29,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
49,01-10-2026 07:32:05,1768030325,FB,N,22,117,140.8,0,0,0,12:0,75.6,27.9,1.6,-3.1,2,0.4,0,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
50,01-10-2026 07:32:21,1768030341,FB,N,27,107,142.3,1960,1834,93,12:42,73.3,22.4,1.2,-2.1,1.9,0.4,20,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
51,01-10-2026 07:32:37,1768030357,FB,Y,-11,53,135.4,1827,1774,97,12:46,50.8,22.1,2.5,-3,1.8,0.4,13,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
52,01-10-2026 07:32:53,1768030373,SP,N,44,56,124.2,1534,1493,97,1:18,64.8,25.9,0.7,-2.9,1.9,0.4,13,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
53,01-10-2026 07:33:44,1768030424,FB,Y,21,87,136.5,1790,1744,97,12:8,33.2,36.2,1.9,-3.1,1.9,0.4,-12,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
54,01-10-2026 07:34:02,1768030442,SP,N,60,82,122.4,1723,1128,65,2:20,42.6,47.5,1.1,-1.3,1.9,0.4,49,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
55,01-10-2026 07:34:16,1768030456,SP,N,2,44,126.1,1691,1356,80,2:16,72.9,19.3,2,-3.8,1.9,0.4,36,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
56,01-10-2026 07:34:30,1768030470,OTH,Y,16,89,130.9,1510,1381,91,1:2,39.4,57,2.9,-1.3,1.9,0.4,-23,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
57,01-10-2026 07:34:44,1768030484,CB,Y,12,66,111.5,2046,1788,87,6:56,-30.4,-33.7,-0.1,2,1.8,0.4,29,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
58,01-10-2026 07:34:58,1768030498,CB,N,28,81,114.3,1840,1628,88,6:48,-43.4,-27.5,-0.6,2.8,1.8,0.4,27,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
59,01-10-2026 07:35:14,1768030514,CB,N,40,87,114.1,2159,1945,90,7:0,-38.8,-24.4,-0.9,3,1.8,0.4,25,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
60,01-10-2026 07:35:31,1768030531,SP,N,28,121,125.8,0,0,0,12:0,26.5,36.8,1.7,0.8,1.8,0.4,0,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
61,01-10-2026 07:35:48,1768030548,OTH,N,0,0,0,0,0,0,12:0,0,0,0,0,0,0,0,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
62,01-10-2026 07:36:10,1768030570,FB,N,-42,46,134.3,1798,1796,99,2:10,0,32.9,3.8,-4.7,1.9,0.3,2,0:0,0,0:0,0,high_intent,矢後,MTD-22119CB2427,,,0,0,false
63,01-10-2026 07:40:20,1768030820,CB,N,35,78,97.3,2095,1817,86,2:10,-30.1,63.1,-1.8,-6.1,2.1,-0.8,-29,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
64,01-10-2026 07:41:15,1768030875,SP,Y,0,95,118.5,1505,1191,79,9:42,14.1,-36.4,-4.1,-1.3,1.7,-0.8,37,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
65,01-10-2026 07:41:42,1768030902,CB,N,38,69,108.8,2005,1562,77,3:44,-10.7,43,-2.8,2.5,1.6,-0.8,-38,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
66,01-10-2026 07:42:30,1768030950,OTH,N,44,75,105.9,1912,1528,79,1:28,17.8,21.1,-3.9,1.4,1.7,-0.9,-36,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
67,01-10-2026 07:42:30,1768030950,FB,N,5,124,118.9,1365,1337,97,11:20,45,-14.3,-3.8,1.3,1.6,-0.8,11,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
68,01-10-2026 07:42:46,1768030966,CB,Y,8,87,106.7,1767,1473,83,4:24,-51.3,36.3,-2,5.9,1.5,-0.9,-33,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
69,01-10-2026 07:43:18,1768030998,OTH,N,45,133,126.6,0,0,0,12:0,69.3,-15.1,-5.1,-3.1,1.8,-0.8,0,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
70,01-10-2026 07:43:51,1768031031,CB,N,30,56,113.9,0,0,0,12:0,0,-36.4,-5.4,-5.4,1.8,-0.9,0,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
71,01-10-2026 07:44:32,1768031072,FB,Y,-12,90,118.5,1848,1391,75,11:10,0,-43.1,-4.1,-1.7,1.7,-0.8,-41,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
72,01-10-2026 07:44:51,1768031091,FB,N,-14,120,119.1,0,0,0,12:0,24.5,-41.5,-3.9,-0.1,1.7,-0.8,0,0:0,0,0:0,0,high_intent,宮本,MTD-22119CB2427,,,0,0,false
1,01-10-2026 07:55:29,1768031729,FB,Y,1,77,118.2,1890,885,46,1:10,32,20.3,2,-1.8,1.6,0.4,62,0:0,0,0:0,0,high_intent,鈴木,MTD-22119CB2427,,,0,0,false
2,01-10-2026 07:55:56,1768031756,FB,N,61,105,121.2,0,0,0,12:0,50.7,23.4,0,0.4,1.6,0.4,0,0:0,0,0:0,0,high_intent,鈴木,MTD-22119CB2427,,,0,0,false
