Game Pitch,Pitch Created At,PitchID,Pitch Type,Is Strike,PlateLocSide (CM),PlateLocHeight (CM),RelSpeed (KMH),SpinRate,TrueSpinRelease,Spin Efficiency,Spin Direction,InducedVertBreak (CM),HorzBreak (CM),HorzRelAngle,VertRelAngle,RelHeight (Meters),RelSide (Meters),Gyro Degree (deg),Right Hand Spin Direction,Right Hand Total Spin,Left Hand Spin Direction,Left Hand Total Spin,IntentType,Pitcher First Name,,Device Serial Number,Latitude,Longitude,VerticalSSWBreak (Meters),HorizontalSSWBreak (Meters),Flagged
79,01-18-2026 02:17:24,1768702644,FB,Y,0,82,109.3,0,0,0,12:0,61.0,13.1,2.2,-0.7,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
78,01-18-2026 02:17:17,1768702637,FB,N,0,110,116.1,0,0,0,12:0,15.9,39.9,3.2,-1.1,1.9,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
77,01-18-2026 02:17:09,1768702629,FB,N,-12,121,114.2,0,0,0,12:0,51.8,7.9,2.7,0.7,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
76,01-18-2026 02:17:02,1768702622,FB,N,-27,44,113.7,1850,1428,77,12:36,60.1,8.0,3.0,-2.2,1.8,0.5,39,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,01-18-2026 02:16:46,1768702606,FB,N,14,113,113.7,0,0,0,12:0,59.7,10.0,1.6,0.2,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
73,01-18-2026 02:16:38,1768702598,FB,Y,-5,61,113.9,0,0,0,12:0,64.2,17.0,2.5,-2.0,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
72,01-18-2026 02:16:30,1768702590,FB,N,-1,121,113.9,0,0,0,12:0,53.1,20.3,2.4,1.0,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
71,01-18-2026 02:16:23,1768702583,CT,Y,1,96,109.8,0,0,0,12:0,3.9,16.3,2.4,-1.8,1.9,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
70,01-18-2026 02:16:15,1768702575,FB,Y,-24,80,114.0,0,0,0,12:0,45.9,15.1,3.2,-0.3,1.9,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
69,01-18-2026 02:16:06,1768702566,FB,Y,-4,88,114.2,2009,1858,92,11:34,17.8,11.6,2.2,-2.7,1.8,0.5,-22,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
68,01-18-2026 02:15:58,1768702558,CT,N,-41,96,104.3,0,0,0,12:0,-6.8,4.5,3.4,-1.1,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
67,01-18-2026 02:15:51,1768702551,FB,Y,-8,61,115.2,1128,1066,94,12:36,69.2,24.2,2.9,-2.0,1.8,0.5,-19,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
66,01-18-2026 02:15:44,1768702544,FB,N,-48,61,117.7,0,0,0,12:0,73.7,16.1,4.1,-2.2,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
65,01-18-2026 02:15:37,1768702537,FB,Y,-25,55,116.7,2044,1564,76,2:0,50.9,17.4,3.3,-1.1,1.7,0.5,40,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
